config_name,batch_label,batch_size,learning_rate,seed,train_acc,val_acc,test_acc,macro_f1,epochs,elapsed_s
mini128_lr1e-02,mini128,128,0.01,1,0.9453924914675768,0.9099316445516686,0.7581097316780137,0.6700800629658572,500,100.49159114000031
mini128_lr1e-02,mini128,128,0.01,2,0.9444890584220036,0.9115400080418175,0.7625150180216259,0.6740029128066805,500,98.4909417150011
mini128_lr1e-02,mini128,128,0.01,3,0.9434852439269223,0.9091274628065943,0.7645174209050861,0.6749797585968687,500,97.42560439600129
mini128_lr1e-02,mini128,128,0.01,4,0.945593254366593,0.9183755528749498,0.76331597917501,0.6748899492932505,500,97.45877105599902
mini128_lr1e-03,mini128,128,0.001,0,0.7687211403332664,0.7631684760755931,0.644773728474169,0.5632718221618774,500,100.59398401600083
mini128_lr1e-03,mini128,128,0.001,1,0.7243525396506726,0.7233614796944109,0.5959150981177412,0.5033797740493314,500,102.65551500000038
mini128_lr1e-03,mini128,128,0.001,2,0.7577795623368802,0.754724567752312,0.6355626752102523,0.5522709856660646,500,98.10201945799963
mini128_lr1e-03,mini128,128,0.001,3,0.7463360770929532,0.7430639324487334,0.6247496996395675,0.5227659296152432,500,99.53293907199986
mini128_lr1e-03,mini128,128,0.001,4,0.7341899217024694,0.7370325693606755,0.6339607529034842,0.5516004568959655,500,99.84725919000084
mini128_lr1e-04,mini128,128,0.0001,0,0.31017867898012447,0.3293124246079614,0.2679215058069684,0.21363588847532053,500,102.86484490799921
mini128_lr1e-04,mini128,128,0.0001,1,0.39178879743023487,0.38882187374346605,0.3364036844213056,0.2629967374271557,500,104.1832429369988
mini128_lr1e-04,mini128,128,0.0001,2,0.2803653884762096,0.2935263369521512,0.24829795754905887,0.20587196001445038,500,101.2790206990012
mini128_lr1e-04,mini128,128,0.0001,3,0.4142742421200562,0.4181745074386811,0.37204645574689627,0.31062317201903433,500,102.33329428999969
mini128_lr1e-04,mini128,128,0.0001,4,0.30425617345914474,0.30156815440289503,0.2771325590708851,0.24008961449524308,500,100.43829854100113
full_lr1e-01,full,-1,0.1,0,0.8194137723348726,0.8150381986328911,0.6928313976772127,0.6108402732629156,500,72.88961091300007
full_lr1e-01,full,-1,0.1,1,0.7858863681991568,0.7720144752714113,0.6463756507809372,0.5635462633125815,500,72.56896759799929
full_lr1e-01,full,-1,0.1,2,0.7940172656093154,0.7913148371531966,0.6647977573087706,0.5795090854088407,500,63.41677212600007
full_lr1e-01,full,-1,0.1,3,0.7808672957237502,0.7736228387615601,0.657989587505006,0.5600357671527141,500,69.09752071900039
full_lr1e-01,full,-1,0.1,4,0.7780566151375226,0.7885002010454363,0.6700040048057669,0.5859486202403523,500,63.60087363599996
full_lr1e-02,full,-1,0.01,0,0.3830556113230275,0.4081222356252513,0.3311974369243092,0.25685393923022803,500,72.61393705199953
full_lr1e-02,full,-1,0.01,1,0.4324432844810279,0.4234016887816647,0.3656387665198238,0.284667402121242,500,72.63943524299975
full_lr1e-02,full,-1,0.01,2,0.35976711503714115,0.376357056694813,0.3235883059671606,0.2598660497195467,500,63.065786172001026
full_lr1e-02,full,-1,0.01,3,0.4434852439269223,0.44712505026135907,0.3960752903484181,0.32505174956700417,500,68.71503981899878
full_lr1e-02,full,-1,0.01,4,0.36338084721943387,0.3558504221954162,0.3195835002002403,0.273786354155786,500,63.18064815500111
