phase,strategy,joint_name,split_kind,split_id,seed,scaler,optimizer,learning_rate,batch_size,weight_decay,epochs,train_size,val_size,threshold_selected,train_mse,val_mse,train_auc_pr,val_auc_pr,train_precision,train_recall,train_f1,val_precision,val_recall,val_f1,generalization_gap_auc_pr,generalization_gap_f1,generalization_gap_mse,stopped_at
optimizer_screening,S3,,cv_fold,2,42,min-max,sgd,0.0005,1,0.0,100,5101,1275,0.6235647451424526,0.021379452334260567,0.01983278829543253,0.9229885288320216,0.9353611689818927,0.9564393939393939,0.8544839255499154,0.902591599642538,0.9624060150375939,0.8648648648648649,0.911032028469751,-0.01237264014987105,-0.008440428827212965,-0.0015466640388280377,100
optimizer_screening,S3,,cv_fold,3,42,min-max,sgd,0.0005,1,0.0,100,5101,1275,0.6191697980239567,0.020958170009854747,0.021603891363561813,0.9270317119050001,0.9190440984673067,0.9478584729981379,0.8612521150592216,0.902482269503546,0.9765625,0.8445945945945946,0.9057971014492753,0.007987613437693386,-0.0033148319457292352,0.0006457213537070655,100
optimizer_screening,S3,,cv_fold,4,42,min-max,sgd,0.0005,1,0.0,100,5102,1274,0.6458665006630231,0.020627093244024834,0.02194305442405156,0.9218539862273484,0.943386071018794,0.9859437751004017,0.8293918918918919,0.9009174311926605,0.9847328244274809,0.8775510204081632,0.9280575539568345,-0.021532084791445638,-0.02714012276417399,0.001315961180026727,100
optimizer_screening,S3,,cv_fold,0,42,min-max,momentum,0.0005,32,0.0,100,5100,1276,0.5477897471873167,0.028680302113283727,0.029452071201737262,0.922660023506231,0.9165447422845112,0.9702970297029703,0.8291032148900169,0.8941605839416059,0.9921875,0.8581081081081081,0.9202898550724637,0.006115281221719782,-0.026129271130857834,0.0007717690884535347,100
optimizer_screening,S3,,cv_fold,1,42,min-max,momentum,0.0005,32,0.0,100,5100,1276,0.556719544557074,0.029118081332365427,0.028440482510437712,0.9244060772340084,0.9066417656984215,0.9938398357289527,0.8189509306260575,0.8979591836734694,1.0,0.8040540540540541,0.8913857677902622,0.017764311535586885,0.006573415883207145,-0.0006775988219277149,100
optimizer_screening,S3,,cv_fold,2,42,min-max,momentum,0.0005,32,0.0,100,5101,1275,0.5379546463450481,0.02931764081940633,0.027774611641388874,0.918642738021223,0.9306247753503009,0.9636711281070746,0.8527918781725888,0.9048473967684021,0.9545454545454546,0.8513513513513513,0.9,-0.011982037329077877,0.004847396768402068,-0.0015430291780174563,100
optimizer_screening,S3,,cv_fold,3,42,min-max,momentum,0.0005,32,0.0,100,5101,1275,0.5403641700090542,0.028882897510406864,0.029358304475033525,0.9229262914237739,0.9115873505578648,0.9653179190751445,0.8477157360406091,0.9027027027027028,0.984,0.831081081081081,0.901098901098901,0.011338940865909142,0.0016038016038018021,0.00047540696462666093,100
optimizer_screening,S3,,cv_fold,4,42,min-max,momentum,0.0005,32,0.0,100,5102,1274,0.5515075549298895,0.028619584561092464,0.029741031424344637,0.9171951898537145,0.9372141534881632,0.9897959183673469,0.8192567567567568,0.8964879852125693,0.9921259842519685,0.8571428571428571,0.9197080291970802,-0.02001896363444866,-0.02322004398451083,0.0011214468632521728,100
optimizer_screening,S3,,cv_fold,0,42,min-max,momentum,0.001,32,0.0,100,5100,1276,0.598645899015079,0.023551755996321325,0.024099814311920553,0.9254138937087927,0.9176641433281081,0.9671179883945842,0.8460236886632826,0.9025270758122744,0.9769230769230769,0.8581081081081081,0.9136690647482014,0.007749750380684595,-0.011141988935926994,0.0005480583155992279,100
optimizer_screening,S3,,cv_fold,1,42,min-max,momentum,0.001,32,0.0,100,5100,1276,0.5893714958728025,0.02392933073560164,0.023283674087047804,0.9272466420438985,0.9092279129333796,0.9601518026565465,0.856175972927242,0.9051878354203937,0.968503937007874,0.831081081081081,0.8945454545454545,0.01801872911051894,0.010642380874939183,-0.000645656648553837,100
